影音网站,#genre#
央视网,webview://https://tv.cctv.com
央视频,webview://https://www.yangshipin.cn
B站,webview://https://www.bilibili.com
爱奇艺,webview://https://www.iqiyi.com
优酷,webview://https://www.youku.com
腾讯视频,webview://https://v.qq.com
芒果TV,webview://https://www.mgtv.com
咪咕视频,webview://https://www.miguvideo.com
网易云音乐,webview://https://music.163.com
QQ音乐,webview://https://y.qq.com
酷狗音乐,webview://https://www.kugou.com
咪咕音乐,webview://https://music.migu.cn

教育网站,#genre#
果汁教育,webview://http://guozhivip.com/edu
墨墨背单词,webview://https://www.maimemo.com/home/login?continue=home/web_study
古诗文网,webview://https://www.gushiwen.cn
汉典,webview://https://www.zdic.net
国家中小学智慧教育平台,webview://https://basic.smartedu.cn
中国大学MOOC(慕课),webview://https://www.icourse163.org
中国高校外语慕课,webview://http://moocs.unipus.cn
学堂在线,webview://https://www.xuetangx.com
网易公开课,webview://https://open.163.com
TED(演讲),webview://https://www.ted.com
多邻国,webview://https://www.duolingo.cn
网易云课堂,webview://https://study.163.com
中国国家数字图书馆,webview://https://www.nlc.cn
国图公开课,webview://http://open.nlc.cn
全历史(历史知识),webview://https://www.allhistory.com
央视纪录片,webview://https://jishi.cctv.com

科普网站,#genre#
中国数字科技馆,webview://https://www.cdstm.cn
果壳,webview://https://www.guokr.com
科普中国,webview://https://www.kepuchina.cn
中国国家博物馆,webview://https://www.chnmuseum.cn
全景故宫,webview://https://pano.dpm.org.cn/
故宫数字文物库,webview://https://digicol.dpm.org.cn
故宫名画记,webview://https://minghuaji.dpm.org.cn
数字多宝阁,webview://https://www.dpm.org.cn/shuziduobaoge/html.html
数字敦煌,webview://https://www.e-dunhuang.com
甘肃石窟全景漫游,webview://https://vr.e-dunhuang.com
数字敦煌开放素材库,webview://https://ip.e-dunhuang.com
数字藏经洞,webview://https://cave17.e-dunhuang.com
云上龙门,webview://https://lmsk.org.cn/home/vr.html
美璟龙门,webview://https://vr.mzgf.com/?projectCode=00g6201M
全景大足,webview://https://www.dzskyjy.cn/web/column/col5008981.html
NASA Eyes,webview://https://science.nasa.gov/eyes
Stellarium Web,webview://https://stellarium-web.org
地球气象,webview://https://earth.nullschool.net/zh-cn
实时地球,webview://https://zoom.earth

有趣网站,#genre#
果汁导航,webview://http://guozhivip.com
果汁排行榜,webview://http://guozhivip.com/rank
今日热榜,webview://https://tophub.today/c/news
工具哇,webview://https://toolwa.com
必应,webview://https://www.bing.com
yandex,webview://https://yandex.com
720云,webview://https://www.720yun.com
美璟世界,webview://https://www.mzgf.com
视觉中国,webview://https://www.vcg.com
09年的B站,webview://https://www.bilibili.com/blackboard/bilibili2009.html
Neal.fun,webview://https://neal.fun
4399,webview://https://4399.com
宝玩,webview://https://poki.com/zh
疯狂游戏,webview://https://www.crazygames.com
